key,value
br-gaya,824230:824209:824232:823001:823005:824231:824234:823002:823003:823004:823000,br-gaya,631
br-ghogha,813225:813205,,
br-goh,821114:824203:824125:824116:824122:824114:824129,,
br-gopalganj,841428:841440:841427:841405,br-gopalganj,6156
br-hajipur,844125:841101:841247:844124:844116:844102:841217:844103:844101:844502:844115,br-hajipur,6224
br-hazrat jandaha,844507:844139:844501:844122:844126:844505,,
br-hilsa,801302:801304:803122:801306:801301:803102,br-hilsa,6111
br-imamganj,824217:824206:824221:824210,br-imamganj,6331
br-jagdishpur,802152:802158:802155:802162,,
br-jamui,811317:811313:811307,br-jamui,6345
br-jehanabad,804408:804418:804432:804429:804417:804423:804420:804434:804425:804406,,
br-jhajha,811314:811305:811308,br-jhajha,6349
br-jhanjharpur,847407:847404:847412:847403:847109:847408:847426:847410:847411,,
br-jiwdhara,845434:845429:845423:845437,,
br-kahalgaon,813209:813222:813206:813204:813203:813214:813231,br-kahalgaon,6429
br-kalyanpurbr,848125:848133:848301:848302:847301,,
br-kankerbr,824302:824303,,
br-katihar,854106:854107:854105:855102:855114:855105:854317:854103:855113:854109:854115,br-katihar,6452
br-khagaria,851204:851205:851214,br-khagaria,6244
br-khizasarai,824233:823311:805135:804404,,
br-khodaganj,801303:804407,,
br-khutauna,847227:847232:847421,,
br-kishanganj,855107,br-kishanganj,6466
br-kochas,821107,,
br-korha,854108:854114,br-korha,6457
br-kuchaikote,841503:841425:841505:841501,,
br-kudra,821111:821108:821104,,
br-kumarkhand,852112,,
br-kursela,854101:854104,,
br-lakhisarai,811311:811302:811310,br-lakhisarai,6346
br-lalganj-bh,844121:844117:844134:844123:844131:844119:844114:844113,,
br-lauria nandangarh,845452:845453,,
br-madanpur,824103:824219:824208,,
br-madhepura,852114:852107:852113:852128,br-madhepura,6476
br-madhubani,847213:847115:847236:847337:847112:847237:847234:847231:847212:847239:847214:847424:847211:847238:847215,br-madhubani,6276
br-maharajganj-bh,841242:841233:841506:841238:841244:841224,,
br-maheshkhunt,851201:851203:851202:851213,,
br-mahnar bazar,844503:844504:844506:844509,,
br-mairwa,841243:841239:841435:841235,br-mairwa,6157
br-makhdumpur,804427:804405:804433:804424:804403:804422,,
br-malmaliya,841507:841413:841403:841422:841416:841434:841439:841442:841406:841408,,
br-malyabag,802129:802125:802216:802211,,
br-manihari,854112:854117:854113,,
br-marhowarah,841418:841443:841460:841218:841415:841411:841401:841419:841402,,
br-masaurhi,804451:804452:804454,,
br-mashrakh,841424:841410:841421:841417:841433:841420,,
br-mirganj,841232:841438:841432:841436,,
br-mohammadpur,841423:841407:841409,,
br-mohania,821109:821101:821105:821124,br-mohania,6187
br-mohiuddin nagar,848502:848506:848504:848501,,
br-motihari,845416:845315:845402:845458:845401:845425:845411:845417:845419:845408:845302:845422,br-motihari,6252
br-munger,811201:811212:811202:811214:811211:811241,,
br-murliganj,852122,,
br-muzaffarpur,844127:843124:843109:842004:843133:843131:843141:844120:843111:843129:842003:842005:842001:843153:843146:843113:842006:843128:843108:843116:844118:842002:843165:842101:843127:843130:843132:845406:842008,br-muzaffarpur,621
br-narkatiaganj,845451:845455:845102:845106:845103:845307,br-narkatiaganj,6253
br-naugachia,853201:851212:853205:851215:851216:853207:853203:853204:853202,br-naugachia,6421
br-nawada,805102:805107:805111:805123:805103:805110:805104:805126:805121:805141:805112,br-nawada,6324
br-nuaon,802132:821110,,
br-pakribarwan,805108:805124:805106:805130:805101:805132,br-pakribarwan,6325
br-patna,800027:800005:800021:801505:800022:800019:800016:801506:800017:800030:803206:800026:800014:800023:801503:800029:800003:800002:800015:800012:800010:800018:801507:800013:800001:804453:800020:800008:800006:800004:803203:800028:800024:800025:800009:800007:800011,br-patna,612
br-pavapuri,803109:805105:803115:803111,,
br-phulparas,847452:847402:847409:847108:847451,br-phulparas,6277
br-piro,821309:802159:802202:802205:802207:802209:802204:802222,br-piro,6181
br-punsia,813104:813110:813107:813109,,
br-pupri,843320:843333:843326:843319:847302,br-pupri,6228
br-purnia,854337:854315:854301:854206:854304:854303:854325:854326:854102:854202:854302:854330:854327:854306:854365:854305,,
br-raghunathpur-br,841504:841509:841203:841210,,
br-rajgir,803117:803116:805109:803121:805133,,
br-rajpur,802122:802114:802128,,
br-raxaul,845301:845305:845433,br-raxaul,6255
br-rohtas,821303:821304:821302:821311,br-rohtas,6188
br-runnisaidpur,843311:843328:843316:843318,,
br-rusera,848211:848117:848112:848236:848210:847311:848208:848216,,
br-saharsa,852201:852202:852216:852124:852221:852212,br-saharsa,6478
br-sahebganj-bh,845424:843125:845432:843120:843152,,
br-sahebpur kamal,851211:851219:851217,,
br-samastipur,848110:848102:848121:848138:848303:843134:848109:848129:848134:848135:848127:848132:848101,br-samastipur,6274
br-sandesh,802206:802223:802201:802164:802203,,
br-sangrampur,813202:813207:813212,,
br-saraiya,841215:843112:844111:843143:843123:844128:843122:843126:843107:843101:843106,,
br-sasaram,821315:802219:821113:802215:821115:802217:821316,br-sasaram,6184
